File Name                     	['་འི་  ', '་འི་_original']	['་ས་   ', '་ས་_original']	['་ར་   ', '་ར་_original']	['་འི།  ', '་འི།_original']	['་ས།   ', '་ས།_original']	['་ར།   ', '་ར།_original']
TMP1JH_LH-bo.txt              	['0     ', '0     ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1KWQ_LH-bo.txt              	['0     ', '0     ']	['14    ', '14    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0035-bo.txt                 	['0     ', '0     ']	['62    ', '62    ']	['33    ', '33    ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMSQ3C_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM4DKU_LH-bo.txt              	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0671-bo.txt                 	['0     ', '0     ']	['9     ', '9     ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TMOF3E_LH-bo.txt              	['0     ', '0     ']	['6     ', '6     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TMJYY2_LH-bo.txt              	['0     ', '0     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0737-bo.txt                 	['581   ', '581   ']	['415   ', '415   ']	['324   ', '324   ']	['12    ', '12    ']	['14    ', '14    ']	['28    ', '28    ']
TM55WF_LH-bo.txt              	['0     ', '0     ']	['11    ', '11    ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0829-bo.txt                 	['0     ', '0     ']	['26    ', '26    ']	['9     ', '9     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM4137-bo.txt                 	['0     ', '0     ']	['32    ', '32    ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM45O5_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['3     ', '3     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM0642-bo.txt                 	['0     ', '0     ']	['22    ', '22    ']	['4     ', '4     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM1926_LH-bo.txt              	['0     ', '0     ']	['5     ', '5     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM4894-bo.txt                 	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']
TM2759-bo.txt                 	['0     ', '0     ']	['31    ', '31    ']	['8     ', '8     ']	['0     ', '0     ']	['2     ', '2     ']	['0     ', '0     ']
TMUQ61_LH-bo.txt              	['0     ', '0     ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
TM3966-bo.txt                 	['0     ', '0     ']	['47    ', '47    ']	['1     ', '1     ']	['0     ', '0     ']	['0     ', '0     ']	['0     ', '0     ']
